RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
1537,100.0,52.9,188.6,14.5,12.7,21,70,0,80,3,0,8,71
1537,100.0,52.9,188.6,14.5,12.7,21,70,0,80,3,0,8,71
1537,100.0,52.9,188.6,14.5,12.7,21,70,0,80,3,0,8,71
1537,100.0,52.9,188.6,14.5,12.7,21,70,0,80,3,0,8,71
1552,100.0,55.0,188.9,16.9,12.9,21,56,0,73,3,0,8,72
1552,100.0,55.0,188.9,16.9,12.9,21,56,0,73,3,0,8,72
1552,100.0,55.0,188.9,16.9,12.9,21,56,0,73,3,0,8,72
1612,100.0,59.1,188.8,16.7,12.9,21,56,0,73,3,0,8,72
1612,100.0,59.1,188.8,16.7,12.9,21,62,0,77,3,0,8,74
1612,100.0,59.1,188.8,16.7,12.9,21,62,0,77,3,0,8,74
1612,100.0,59.1,188.8,16.7,12.9,21,62,0,77,3,0,8,74
1661,100.0,58.0,188.3,16.9,12.9,21,62,0,77,3,0,8,74
1661,100.0,58.0,188.3,16.9,12.9,21,74,0,80,3,0,8,76
1661,100.0,58.0,188.3,16.9,12.9,21,74,0,80,3,0,8,76
1661,100.0,58.0,188.3,16.9,12.9,21,74,0,80,3,0,8,76
1674,100.0,58.1,188.5,16.9,12.8,21,74,0,80,3,0,8,76
1674,100.0,58.1,188.5,16.9,12.8,21,31,0,63,3,0,8,73
1674,100.0,58.1,188.5,16.9,12.8,21,31,0,63,3,0,8,73
1674,100.0,58.1,188.5,16.9,12.8,21,31,0,63,3,0,8,73
1672,100.0,57.3,188.5,16.7,12.9,21,31,0,63,3,0,8,73
1672,100.0,57.3,188.5,16.7,12.9,21,31,0,63,3,0,8,73
1672,100.0,57.3,188.5,16.7,12.9,22,72,0,80,3,0,8,76
1672,100.0,57.3,188.5,16.7,12.9,22,72,0,80,3,0,8,76
1670,100.0,55.9,188.8,17.1,12.1,22,72,0,80,3,0,8,76
1670,100.0,55.9,188.8,17.1,12.1,22,72,0,80,3,0,8,76
1670,100.0,55.9,188.8,17.1,12.1,22,44,0,66,3,0,9,75
1670,100.0,55.9,188.8,17.1,12.1,22,44,0,66,3,0,9,75
1675,100.0,58.1,188.9,16.9,12.3,22,44,0,66,3,0,9,75
1675,100.0,58.1,188.9,16.9,12.3,22,44,0,66,3,0,9,75
1675,100.0,58.1,188.9,16.9,12.3,22,42,0,66,3,0,8,75
1675,100.0,58.1,188.9,16.9,12.3,22,42,0,66,3,0,8,75
1681,100.0,57.7,188.8,17.1,12.7,22,42,0,66,3,0,8,75
1681,100.0,57.7,188.8,17.1,12.7,22,42,0,66,3,0,8,75
1681,100.0,57.7,188.8,17.1,12.7,22,73,0,80,3,0,8,76
1681,100.0,57.7,188.8,17.1,12.7,22,73,0,80,3,0,8,76
1688,100.0,58.5,188.7,17.3,12.8,22,73,0,80,3,0,8,76
1688,100.0,58.5,188.7,17.3,12.8,22,73,0,80,3,0,8,76
1688,100.0,58.5,188.7,17.3,12.8,22,58,0,71,3,0,8,78
1688,100.0,58.5,188.7,17.3,12.8,22,58,0,71,3,0,8,78
1692,100.0,58.0,188.6,17.1,12.9,22,58,0,71,3,0,8,78
1692,100.0,58.0,188.6,17.1,12.9,22,58,0,71,3,0,8,78
1692,100.0,58.0,188.6,17.1,12.9,22,45,0,65,3,0,8,77
1692,100.0,58.0,188.6,17.1,12.9,22,45,0,65,3,0,8,77
1692,100.0,57.2,188.8,17.3,12.3,22,45,0,65,3,0,8,77
1692,100.0,57.2,188.8,17.3,12.3,22,45,0,65,3,0,8,77
1692,100.0,57.2,188.8,17.3,12.3,22,42,0,67,3,0,8,80
1692,100.0,57.2,188.8,17.3,12.3,22,42,0,67,3,0,8,80
1696,100.0,58.2,188.6,17.1,12.7,22,42,0,67,3,0,8,80
1696,100.0,58.2,188.6,17.1,12.7,22,42,0,67,3,0,8,80
1696,100.0,58.2,188.6,17.1,12.7,23,77,0,80,3,0,8,78
1696,100.0,58.2,188.6,17.1,12.7,23,77,0,80,3,0,8,78
1694,100.0,57.7,188.7,17.0,12.7,23,77,0,80,3,0,8,78
1694,100.0,57.7,188.7,17.0,12.7,23,77,0,80,3,0,8,78
1694,100.0,57.7,188.7,17.0,12.7,23,46,0,66,3,0,8,79
1694,100.0,57.7,188.7,17.0,12.7,23,46,0,66,3,0,8,79
1687,100.0,56.5,188.8,17.0,12.8,23,46,0,66,3,0,8,79
1687,100.0,56.5,188.8,17.0,12.8,23,46,0,66,3,0,8,79
1687,100.0,56.5,188.8,17.0,12.8,23,53,0,70,3,0,8,79
1687,100.0,56.5,188.8,17.0,12.8,23,53,0,70,3,0,8,79
1695,100.0,57.8,188.8,17.0,12.7,23,53,0,70,3,0,8,79
1695,100.0,57.8,188.8,17.0,12.7,23,53,0,70,3,0,8,79
1695,100.0,57.8,188.8,17.0,12.7,23,30,0,58,3,0,8,79
1695,100.0,57.8,188.8,17.0,12.7,23,30,0,58,3,0,8,79
1700,100.0,57.6,188.8,17.1,12.7,23,30,0,58,3,0,8,79
1700,100.0,57.6,188.8,17.1,12.7,23,30,0,58,3,0,8,79
1700,100.0,57.6,188.8,17.1,12.7,23,30,0,58,3,0,8,79
1700,100.0,57.6,188.8,17.1,12.7,23,69,0,78,3,0,8,78
1701,100.0,56.0,188.6,17.1,12.8,23,69,0,78,3,0,8,78
1701,100.0,56.0,188.6,17.1,12.8,23,69,0,78,3,0,8,78
